[2020-10-31T22:16:00-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-31T22:16:00-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-31T23:25:07-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-31T23:25:07-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-11-03T12:37:20-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-11-03T12:37:20-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-11-03T15:55:05-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-11-03T15:55:05-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-11-05T08:37:53-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-11-05T08:37:53-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-11-05T14:39:29-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-11-05T14:39:29-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-11-05T14:39:43-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-11-05T14:39:44-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-11-05T14:40:30-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-11-05T14:40:30-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Anurushul; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
