[2020-11-06T10:01:52-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-11-06T10:02:01-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-11-06T10:41:02-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-11-06T10:41:32-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-11-06T10:54:05-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-11-06T14:24:47-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-11-06T14:24:47-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-11-06T16:35:42-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-11-06T16:35:42-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-11-06T18:26:32-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-11-06T18:26:32-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
