[2020-10-18T10:12:04-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2020-10-18T10:12:31-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2020-10-18T10:18:01-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2020-10-18T10:21:53-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-18T10:51:33-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2020-10-18T10:51:40-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-18T11:23:50-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-18T11:24:44-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-18T11:27:41-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-18T12:11:14-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-18T12:11:14-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-18T12:21:42-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-18T12:21:43-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-18T15:55:31-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-18T15:55:31-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-19T15:01:18-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-19T15:01:18-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-19T15:56:42-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-19T15:56:42-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-20T20:25:42-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-20T20:25:42-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-21T00:19:05-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-21T00:19:05-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-21T11:08:33-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-21T11:08:33-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-21T14:14:15-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-21T14:14:15-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-22T20:32:00-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-22T20:32:00-0400] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: e7f5108a28; save: Zavaznir; SC_MAP_LOADED; game type DWARF_MAIN (0)
